13	804	1732
0	0	145.81015014648438	396.1844177246094
1	0	92.58531951904297	403.2034912109375
0	1	173.79957580566406	135.06927490234375
1	1	119.63488006591797	135.00326538085938
0	2	178.49847412109375	404.536376953125
1	2	126.83501434326172	410.8067932128906
0	3	230.6229248046875	58.81674575805664
1	3	180.6443634033203	58.499271392822266
0	4	266.63787841796875	131.36984252929688
1	4	219.0136260986328	132.02816772460938
0	5	325.8858337402344	115.77571868896484
1	5	278.9311218261719	116.77686309814453
0	6	333.75457763671875	122.3694076538086
1	6	286.8772277832031	123.34142303466797
0	7	394.8718566894531	258.8489685058594
1	7	346.5868835449219	258.3946533203125
2	7	295.6555480957031	258.8027038574219
0	8	394.8718566894531	258.8489685058594
1	8	346.5868835449219	258.3946533203125
2	8	295.6555480957031	258.8027038574219
0	9	393.9197692871094	363.22479248046875
1	9	347.0573425292969	362.28643798828125
0	10	408.972900390625	178.75595092773438
1	10	359.05810546875	178.8106231689453
3	10	235.83958435058594	180.64947509765625
0	11	415.5842590332031	76.55626678466797
1	11	363.6314392089844	77.71317291259766
0	12	422.6346740722656	153.30650329589844
1	12	371.8504333496094	153.39112854003906
0	13	422.6346740722656	153.30650329589844
1	13	371.8504333496094	153.39112854003906
0	14	421.8213195800781	194.19363403320312
1	14	371.8880310058594	193.7869110107422
2	14	320.4481506347656	193.9591064453125
3	14	248.98158264160156	196.15524291992188
0	15	423.27252197265625	176.67071533203125
1	15	372.7809753417969	176.6712188720703
0	16	426.8597412109375	362.8110046386719
1	16	378.6966857910156	360.7132568359375
2	16	328.95172119140625	361.04522705078125
0	17	433.94757080078125	109.31611633300781
1	17	381.969970703125	110.16958618164062
0	18	432.6907043457031	179.22779846191406
1	18	382.1690979003906	178.9757843017578
0	19	438.954833984375	172.9373321533203
1	19	388.1938781738281	172.86680603027344
2	19	336.3519592285156	173.01788330078125
3	19	265.07012939453125	174.9248504638672
4	19	199.1166534423828	173.84307861328125
0	20	447.7190246582031	381.1521301269531
1	20	399.5966796875	378.1849365234375
0	21	453.9478759765625	237.24681091308594
1	21	403.44219970703125	236.1219024658203
2	21	352.6382751464844	236.23812866210938
3	21	281.3281555175781	238.38278198242188
4	21	217.4263916015625	238.096435546875
0	22	459.1748046875	250.65591430664062
1	22	409.0381164550781	249.22406005859375
0	23	461.82916259765625	169.76654052734375
1	23	410.03900146484375	169.75839233398438
2	23	357.8958435058594	170.0574188232422
0	24	459.8871154785156	280.4088134765625
1	24	410.1863098144531	278.6831970214844
0	25	462.50048828125	184.4639434814453
1	25	410.9868469238281	184.04864501953125
0	26	469.345703125	215.79542541503906
1	26	418.20416259765625	214.86444091796875
2	26	366.469482421875	214.8906707763672
0	27	480.4949951171875	182.17604064941406
1	27	428.2948303222656	181.78152465820312
2	27	375.9999084472656	182.07579040527344
0	28	482.6185607910156	168.9201202392578
1	28	429.8803405761719	168.81082153320312
0	29	487.4450988769531	260.77227783203125
1	29	436.10186767578125	259.0028991699219
0	30	503.44287109375	151.7520751953125
1	30	449.7266845703125	151.86265563964844
0	31	512.5641479492188	206.6425323486328
1	31	459.1729431152344	205.56329345703125
2	31	406.0693664550781	205.68331909179688
0	32	529.4727172851562	219.45071411132812
1	32	475.3104248046875	217.82522583007812
0	33	548.7872924804688	229.49903869628906
1	33	493.75244140625	227.47378540039062
0	34	553.6611328125	159.63633728027344
1	34	497.24322509765625	159.33213806152344
0	35	553.8916015625	311.9452819824219
1	35	499.7402038574219	307.6450500488281
0	36	569.1537475585938	256.8236083984375
1	36	513.3767700195312	253.71690368652344
2	36	458.21160888671875	252.90725708007812
0	37	576.9503784179688	163.733642578125
1	37	519.3699951171875	163.19912719726562
0	38	576.9503784179688	163.733642578125
1	38	519.3699951171875	163.19912719726562
0	39	578.1148071289062	250.712158203125
1	39	521.9160766601562	247.72650146484375
0	40	578.1392822265625	284.5558776855469
1	40	522.1937255859375	280.7814025878906
0	41	582.1315307617188	118.1153564453125
1	41	524.162109375	118.64041900634766
0	42	581.3378295898438	293.6846008300781
1	42	525.352783203125	289.4148254394531
0	43	598.5636596679688	202.97364807128906
1	43	540.7102661132812	201.1096649169922
0	44	598.5636596679688	202.97364807128906
1	44	540.7102661132812	201.1096649169922
0	45	593.1332397460938	451.0384826660156
1	45	541.478759765625	442.89300537109375
0	46	600.4337158203125	123.2249755859375
1	46	541.5214233398438	123.58800506591797
2	46	483.9561462402344	125.5316162109375
0	47	624.4725341796875	222.1521453857422
1	47	565.6804809570312	219.39859008789062
1	48	250.97140502929688	117.68609619140625
2	48	199.2161407470703	117.60197448730469
1	49	276.6285705566406	86.33305358886719
2	49	224.833740234375	86.28251647949219
3	49	149.57884216308594	84.35005950927734
1	50	282.6674499511719	112.05291748046875
2	50	231.351318359375	112.25212860107422
1	51	346.4895324707031	136.4410400390625
2	51	294.5050354003906	136.38905334472656
1	52	348.6095275878906	189.01101684570312
2	52	297.2406311035156	189.21531677246094
1	53	348.6095275878906	189.01101684570312
2	53	297.2406311035156	189.21531677246094
3	53	225.50347900390625	191.53201293945312
4	53	157.83743286132812	191.02490234375
1	54	353.2829895019531	161.42384338378906
2	54	301.2983703613281	161.44906616210938
1	55	355.9497985839844	145.39443969726562
2	55	303.9861145019531	145.37355041503906
1	56	359.9173889160156	153.20489501953125
2	56	308.0830078125	153.21095275878906
1	57	359.9173889160156	153.20489501953125
2	57	308.0830078125	153.21095275878906
1	58	363.6756591796875	162.87608337402344
2	58	311.9289855957031	163.04542541503906
1	59	366.6993408203125	115.45895385742188
2	59	314.5245056152344	115.3943099975586
1	60	366.78924560546875	139.72900390625
2	60	314.8525695800781	139.981201171875
1	61	373.9176025390625	126.08474731445312
2	61	321.69525146484375	126.20865631103516
1	62	376.9250183105469	171.01695251464844
2	62	325.2749938964844	170.77438354492188
